"","October.2014","November.2014","December.2014","January.2015","February.2015","March.2015","totals"
"saying",0.00260577720536858,0.00310740408786812,0.00272176297744565,0.002349227509102,0.00251020566474997,0.00268437362436203,0.002673272355054
"woman",0.00286363348757085,0.0025028910209265,0.00244605283138225,0.00198200350874987,0.00328633717641659,0.0031821094059859,0.00266276489738592
"social",0.00171654722954176,0.00227350122144156,0.00313497831056859,0.002797253365696,0.00283423350043796,0.00307750643962012,0.0026076007446285
"believe",0.00269660520978548,0.00253629443244943,0.00267732745898112,0.00263627846143205,0.00305725515293144,0.00186280449269741,0.00259096393665404
"talk",0.00314326127644983,0.002671090500188,0.0019124767238357,0.00218416535140947,0.00286978767692243,0.00283430454281966,0.00258571020782
"gamergate",0.00407229228792001,0.00226611108614888,0.001891483565506,0.00302896919468531,0.00228435583912705,0.00164749672026116,0.00257496925109263
"threats",0.00430429490594369,0.00219693941980935,0.00240301685680637,0.00217787726921166,0.0018435648556662,0.00242199451706118,0.00256848965219731
"dead",0.00392091228055852,0.00251116797245431,0.00242750887485768,0.00214329281712371,0.00200477072404464,0.00223545256037552,0.0025607258084759
"come",0.0029898401903374,0.00278076010793145,0.00259615391343961,0.002007470241651,0.00243465303972048,0.00253531439729078,0.00255938318888498
"thank",0.00359638075915883,0.0024150962136494,0.00254542044747617,0.00189428476209041,0.00297847033003972,0.00188416093166375,0.00255313708904895
"better",0.00235268344025184,0.00241716545153135,0.0026063006066323,0.00267903742037716,0.00273363134197623,0.00250306181599467,0.00254350525285321
"here's",0.00262448709391888,0.00259571112020262,0.00246249747207385,0.00268186705736617,0.00239223044277878,0.002430711430925,0.00254292150520499
"wrong",0.00234145750712166,0.00237991916965622,0.0025405220438659,0.00277084342046519,0.00285120253921464,0.00239148531853783,0.00254233775755676
"free",0.00183935213439007,0.00238642248871379,0.00278929097007285,0.00271959555055304,0.00218981405165699,0.00316772649811061,0.00249785618676189
"female",0.00209244589950681,0.00199829258314198,0.00242366012916391,0.00259320509837705,0.00253525519818221,0.00365848874864343,0.00249581306999309
"feminist",0.00338172731051816,0.0019870595774971,0.00180226264260478,0.00307172815363042,0.0021785013591392,0.00232262169901368,0.00246954442582289
"try",0.0022727411891733,0.00218688883581129,0.00281518253201282,0.00241745320094824,0.00266939140946452,0.00237056472526467,0.00244356765547681
"guy",0.00229893503314372,0.00252210537268748,0.00264198897579279,0.00243663185165156,0.00211022117929971,0.00257061789843924,0.00243492819028305
"tweet",0.00255475023659505,0.00214875573770104,0.00203948533173039,0.00203105054989279,0.00254212361863944,0.0035700120729257,0.0024255298531466
"making",0.00203801713281504,0.0026908960627724,0.00189463253925546,0.00241713879683835,0.00244919793010049,0.00314811344191702,0.00242150199437384
"interview",0.00353718947538153,0.00294866398178125,0.00221862694947717,0.00135885456294685,0.00277524588945237,0.0015367919141907,0.00241852488136788
"men",0.00306672082328952,0.00279021948110608,0.00213360465824188,0.00173142343316712,0.00202618403488188,0.00275977492928404,0.00241706551224732
"says",0.00261394152037235,0.0017671291511868,0.00226481189780251,0.00249008055033295,0.00264999822229118,0.00288529848892298,0.00240702505269782
"side",0.00334464771320939,0.00307813915210909,0.00221127934406177,0.00204456992661808,0.00139913764961036,0.00151674301230392,0.0023356327153197
"follow",0.000916784538964534,0.00574509117653319,0.00196845847938157,0.00165628085090328,0.00134015003862476,0.00150715440705373,0.00232325726517729
"point",0.00255679131534599,0.00207012469818687,0.00227285927516222,0.00217599084455232,0.00212112984708472,0.00278374644240953,0.00231006456832737
"report",0.00397432050787482,0.0020550488221898,0.00237677540889424,0.0024055058447724,0.00140964229266259,0.00128574479491281,0.00230685395626212
"emails",0.00252753585324916,0.00523310260345598,0.00226446201183034,0.00111424816545202,0.00111430021300184,0.000665100527809134,0.0023018921012522
"thought",0.00185466022502213,0.00239233459694793,0.00235858133834183,0.00231621507756349,0.00227829546813538,0.00267565671049822,0.00230177535172255
"fight",0.00198222764695597,0.00297231241471784,0.00296073509643207,0.00229829404329973,0.00147065002731207,0.00175776568063843,0.00229570437618099
"world",0.00199651519821256,0.00225635610756253,0.0022000829929526,0.00217284680345341,0.00266090689007618,0.00245729801820963,0.00227223772072228
"care",0.00191929438546861,0.00243194572211672,0.00207202472714142,0.00225647829668429,0.00223950909378869,0.00274190525586321,0.00226505762464909
"feel",0.00252175279678816,0.00279967885428072,0.00228650482807653,0.00179996352912325,0.00191103698604014,0.00211559499474806,0.00226073789205222
"using",0.00258978875515287,0.00255639560044554,0.00190687854828112,0.00204079707729939,0.00208274749747081,0.00208029149359961,0.00222582978268826
"spread",0.0020591082799081,0.00245293370634795,0.00294184125393534,0.00202256163892574,0.00184154473200231,0.0018963646110731,0.00222413691450841
"sarkeesian",0.00279559752920614,0.00133258919597693,0.00205103156881172,0.00330061434563073,0.00241081558048658,0.00130230693125406,0.00222063442861905
"best",0.00176417240039706,0.00221083287415959,0.00272176297744565,0.00248693650923405,0.00214739145471529,0.00184493481927658,0.0022125203363087
"post",0.00206761277470369,0.0022232483014513,0.00207482381491872,0.00217158918701385,0.00257565767146002,0.00219927736784069,0.00220989347189168
"truth",0.00242548191570209,0.00196873204197124,0.00221267888795042,0.00213763354314568,0.00280756786807461,0.00172725648211507,0.00220802547941735
"gets",0.00182948692042718,0.0019391715008005,0.00226936041544061,0.00226685363231068,0.00240919948155546,0.00261115154790598,0.00219419066015438
"play",0.00181281811062783,0.00214432165652543,0.00222492489697608,0.00188705346756293,0.00242738059453047,0.00288006834060469,0.00219255616673934
"long",0.00239554609402161,0.0022152669553352,0.00233129023251322,0.00238789921461853,0.0018896236752029,0.00177519950836606,0.00219162217050218
"brianna",0.00217851138683817,0.000897458029943646,0.00227355904710655,0.00180310757022216,0.0040184299922104,0.00237317979942381,0.0021636022833873
"life",0.00195535344340191,0.00166041559756043,0.00198175414632371,0.0020804119951456,0.00216112829562975,0.00347848447735564,0.00215846530408291
"censorship",0.000763023273060278,0.00204884110854394,0.00418078748135982,0.00173299545371657,0.00114460206796019,0.00303828032723295,0.00212711805537313
"click",0.000371476332671343,0.00230897387084645,0.00381445686850655,0.00301513541385013,0.0018435648556662,0.00108002562772676,0.00212694293107867
"lot",0.00236629063192478,0.00208490496877224,0.00215634724643239,0.00193232765938716,0.00183790850940731,0.00223196579483,0.00210079103643811
"justice",0.00127941619704846,0.00184605579611267,0.00282602899714983,0.00230583974193711,0.00189972429352235,0.00246122062944835,0.00208783183864748
"based",0.00254386448325669,0.00192232199233318,0.0025944044835788,0.00210556432393684,0.00189608807092735,0.00116763061205811,0.00207026103443586
"makes",0.00190670773317114,0.00211328308829615,0.00211156184199569,0.00181442611817822,0.00244677378170382,0.00204498799245115,0.0020610961963587
"corrupt",0.00199073214175156,0.00164415729991652,0.00187678835467521,0.00278216196842125,0.00234253540064709,0.00168367191279599,0.00205992870106225
"called",0.00252515459470639,0.00194064952785904,0.00192402296091704,0.00207097987184888,0.00185204937505454,0.00198091867555211,0.00205496684605232
"movement",0.00359433968040789,0.00240622805129818,0.00177882028246994,0.0014003559054524,0.00122419494031747,0.001692824672353,0.0020523399816353
"talking",0.0022380428504073,0.00222502193392155,0.00170114559665005,0.00167923235092529,0.00173003390575557,0.00262204769023575,0.00202017548621801
"tag",0.00228736892022172,0.00172071910154874,0.00164691327096499,0.00208764328967308,0.0022815276659976,0.0022084301273977,0.00202011711145319
"supporters",0.00242446137632662,0.00227379682685327,0.00201394365576259,0.00188705346756293,0.0019724487454224,0.00136027440844843,0.0020185993675678
"months",0.00137976923563642,0.00149162490747551,0.00172143898303543,0.00233036326250857,0.00286493938012909,0.00259371772017835,0.00201252839202624
"money",0.00157605297551862,0.00169027174414287,0.00251043185026,0.0024155667762889,0.00199790230358742,0.00187064971517484,0.00201077714908156
"pretty",0.00160768969615821,0.00260960457455287,0.00181625808149124,0.00214706566644239,0.00184881717719232,0.00178130134807073,0.00199857682323362
"wants",0.00194480786985538,0.00165095622438579,0.00207307438505791,0.00168583483723299,0.00259747500703003,0.00221845457834108,0.0019910464785715
"away",0.00225573219958212,0.00195306495515075,0.00238517267222612,0.00158585433028781,0.00190942088710903,0.00180570870688941,0.00198287401149633
"yes",0.00179580912103665,0.00214550407817226,0.00217209211517966,0.00192541076896957,0.00227061899821259,0.00149015642501929,0.00197937152560697
"dev",0.000757920576182924,0.00175057524813118,0.00213325477226972,0.00150851091925474,0.00276070099907236,0.0034375149821957,0.00197102393423732
"hashtag",0.00265340237622388,0.00165982438673701,0.00160562672624992,0.00186567398809037,0.00237970567606267,0.00169108128958024,0.00196769657264243
"list",0.00161993616866386,0.00419079792177571,0.00163326771805069,0.00133778948758418,0.00105571662674902,0.00137727239048287,0.00196343521481038
"seriously",0.00200467951321633,0.00192764288974391,0.00192997102244379,0.00179367544692544,0.00222213603027923,0.00194561517440365,0.00196133372327676
"fighting",0.00180329307645677,0.00188093723469414,0.00155349371639783,0.00353264457872993,0.00119752930795412,0.00137552900771011,0.00195321963096641
"internet",0.00181009667229324,0.00220462516051374,0.0018029624145491,0.00209581779653024,0.00189770416985846,0.00179829933010517,0.00195094301513833
"narrative",0.00192575780151326,0.00116113805718664,0.00131557125532789,0.0016490495563758,0.00364470711439071,0.00246906585192578,0.00194271217329833
"nice",0.00167708637369022,0.00343227443533454,0.00141248966961667,0.00153900811791412,0.00167023824530442,0.00153635606849751,0.00193407270810458
"looks",0.00146243292504955,0.00203731249748735,0.00159338071722426,0.0022728273103986,0.00199184193259575,0.00227772959261503,0.00193395595857493
"lies",0.00151890277049226,0.00122262398282178,0.00211366115782866,0.00252309298187146,0.00225082178630647,0.00194038502608536,0.00190827106205296
"check",0.00177777959207,0.00203021796760638,0.00166650688540605,0.00172387773452975,0.00226738680035037,0.00185408757883359,0.00188001767587879
"needs",0.00214925592474134,0.00207574120100931,0.00218573766809397,0.00171507441945281,0.00144842866700928,0.00155161066775919,0.00187890855534716
"problem",0.00157299135739221,0.00142245324113598,0.00223087295850282,0.00214958089932152,0.00186417011703788,0.00203016923888267,0.00186338086790433
"evidence",0.00296738832407704,0.0018031930114151,0.00144607872294419,0.00169275172765058,0.00149529553601153,0.00150802609844011,0.00183886346667881
"literally",0.00225233040166389,0.00141979279243061,0.00220428162461854,0.00185529865246398,0.00173932647460947,0.00150410348720139,0.00183185849490009
"guess",0.00195263200506732,0.00187798118057707,0.00182430545885096,0.00171098716602423,0.00154943485020379,0.00207898395652003,0.00183028237624988
"calling",0.00187234957419695,0.00160188572604236,0.00177812051052562,0.00152706076173828,0.00201325524343298,0.0022790371296946,0.00181393744209953
"end",0.00235710577754555,0.00209998084476932,0.00177287222094319,0.0014632367274305,0.00133812991496087,0.00172333387087636,0.00181078520479911
"send",0.00186962813586237,0.00351947803178822,0.00168470095595845,0.00127679509026542,0.00086865317547279,0.00112666111689817,0.00181037658144535
"piece",0.00255645113555416,0.00114162810001395,0.000833778271661266,0.00337418490734511,0.00150539615433098,0.00107566717079485,0.00179128803334834
"dear",0.00131037255810441,0.00144994454442476,0.00160422718236127,0.00274600549578384,0.00167589459156332,0.00190900413617563,0.00178650130263288
"start",0.00176519293977253,0.00192439123021513,0.00146077393377498,0.00186347315932114,0.00190214844191902,0.00165577778843178,0.00176922237224537
"press",0.00156006452530291,0.00128322309222179,0.00115427382216136,0.00100011947356176,0.00340673654678445,0.00281643486939884,0.00176881374889161
"reason",0.00149475000527279,0.00159183514204431,0.00201464342770691,0.00186567398809037,0.00169447972927111,0.0019621773107449,0.00176099153040537
"big",0.00194140607193714,0.00164770456485701,0.00165251144651958,0.00180593720721117,0.00145448903800095,0.00196304900213129,0.00174260347948623
"forget",0.00144236231733196,0.00192764288974391,0.00174418157122594,0.00242154045437682,0.00120197358001467,0.00148449043100781,0.00174126085989531
"rape",0.00171314543162352,0.0016834728196736,0.00210071537685868,0.00134816482321057,0.00205042551884856,0.00152458823478136,0.00172765953969163
"mean",0.00180499397541589,0.00161282312627554,0.00186209314384442,0.00166602737830989,0.00164882493446719,0.00171766787686487,0.0017165099596105
"true",0.00171076417308076,0.001691158560378,0.00148631560974278,0.00180247876200238,0.00220476296676977,0.0013903477612786,0.00171493384096029
"apparently",0.00203801713281504,0.00212865456970494,0.00154964497070405,0.0012708214121775,0.00147630637357096,0.00161393660188547,0.00169403567515377
"yeah",0.00171586686995811,0.00152473271358673,0.00174103259747648,0.00200967107042023,0.00167023824530442,0.00137814408186926,0.00168504596137108
"friends",0.00141446757440242,0.00175057524813118,0.00173858339567135,0.00160817702209003,0.00197487289381907,0.00165403440565902,0.00168393684083945
"fun",0.00138555229209742,0.00163588034838871,0.00192017421522326,0.00170186944683741,0.0016136747827155,0.00187805909195908,0.00168183534930584
"wow",0.00175736880456059,0.00198942442079076,0.00168190186818116,0.00116832567235319,0.00191992553016125,0.00154681636513409,0.00167652324570697
"hard",0.00181417882979512,0.00165479909473799,0.00151675568932085,0.00152140148776025,0.0019393187173346,0.00160565553371484,0.0016688761515152
"job",0.0014270542266999,0.00150433594017892,0.00157063812903375,0.00183580559765077,0.00195426763244739,0.00176299582895672,0.00166333054885705
"important",0.0015151607927822,0.00191197580292342,0.00215704701837671,0.00161163546729883,0.0012217707919208,0.00136332532830077,0.00165580020419493
"ppl",0.00119879358638628,0.00190813293257122,0.00199504981326586,0.00169903980984839,0.00124520422642192,0.00178522395930945,0.00164984597818302
"proof",0.00168218907056758,0.00158680985004529,0.00158708276972535,0.00170501348793631,0.00198982180893186,0.00110225375807949,0.00161849872947324
"death",0.00206046899907539,0.00140442131102183,0.00186314280176091,0.00177355358389245,0.00128964694702751,0.00115891369819429,0.00161260287822615
"sorry",0.00143011584482631,0.00148837324794672,0.00161052512986018,0.0018980576114091,0.00167589459156332,0.00156468603855491,0.00161213588010757
"misogyny",0.00324871701191514,0.00146768086912721,0.00151325682959923,0.00112933956272676,0.0012015695552819,0.000923992869564459,0.00160682377650871
"actual",0.00120967933972463,0.00163824519168237,0.00153145090015164,0.00186724600863982,0.00190538063978124,0.00140647405192666,0.00159695844125368
"seen",0.00196181685944655,0.00131189681715741,0.00170674377220464,0.00185058259081563,0.00143630792502594,0.00110007452961354,0.00157892063892348
"anti-gg",0.00174784377038953,0.00234267288778109,0.00177147267705455,0.00101646848727607,0.00137489616564368,0.000973679278588209,0.0015758851511527
"stupid",0.00112361385239327,0.00139407512161207,0.001716190693453,0.00176569348114519,0.00195790385504239,0.00156076342731619,0.00157419228297284
"speak",0.00176893491748259,0.00154601630322967,0.00158393379597589,0.00102558620646289,0.0014904472392182,0.00214871926743056,0.00156666193831072
"year",0.000756900036807453,0.000738126713033361,0.00284632238353521,0.00275543761908056,0.00112116863345907,0.0010403636696464,0.00156345132624547
"stay",0.00227376172854877,0.00173224771260532,0.00147861811835523,0.00138715093283699,0.00106339309667181,0.00122036794093419,0.00155358599099044
"info",0.001295744827056,0.00164563532697506,0.00136630472129133,0.00201973200193673,0.00152317324257322,0.00133891796948208,0.00154967488174732
"agree",0.00175158574809959,0.0017792489730668,0.00166615699943388,0.00128119674780389,0.00142701535617204,0.00131015215373149,0.00154944138268803
"speech",0.000950462338355067,0.00162228249945017,0.00217664063281776,0.0015361784809251,0.000862592804481119,0.00217574170040839,0.00154786526403782
"stand",0.00188935856378813,0.00232818822260743,0.00126028927172634,0.00110104319283662,0.00118460051650522,0.00131843322190212,0.00154640589491725
"understand",0.00189854341816737,0.00132283421739058,0.0017819692562194,0.00141576170683703,0.00126944571038861,0.00158081232920297,0.00154231966137966
"having",0.00148454461151808,0.00160011209357212,0.00187748812661953,0.00141481849450736,0.00132924137083976,0.00150061672165587,0.00153969279696264
"block",0.00054054568920766,0.00242928527341136,0.00127078585089119,0.000944784350221026,0.00126459741359527,0.00295982810245861,0.00153905067454959
"hope",0.00127431350017111,0.00167726510602775,0.00179526492316154,0.00152926159050751,0.00141327851525759,0.00147751689991675,0.00153543143913059
"ask",0.00188391568711896,0.00180467103847364,0.00116442051535405,0.00152768956995806,0.00161892710424161,0.00107087286816975,0.00153490606624719
"god",0.00126206702766546,0.00111058953178468,0.00222877364266985,0.0016091202344197,0.00170134814972833,0.00131974075898169,0.00152906858976492
"sexist",0.00171790794870905,0.00190281203516049,0.000963935853305408,0.00100074828178154,0.00217971343333754,0.00146400568342784,0.00152819296829258
"story",0.00190500683421202,0.0014073773651389,0.00141074023975586,0.00191063377580472,0.00145812526059595,0.000889561059802388,0.00152474885716804
"8chan",0.000852830738101702,0.000761183935146537,0.00231519547779379,0.00341600065396055,0.000636338954125416,0.000776241179572784,0.00151307390420351
"attack",0.00202781173906033,0.00117237106283152,0.00131382182546708,0.00183580559765077,0.00136398749785867,0.00129228248031067,0.00150968816784379
"feminists",0.00146039184629861,0.0012873615679857,0.00177042301913806,0.00153932252202401,0.00157367633417047,0.00146531322050741,0.00150962979307897
