"text","year","total","count","X1","X2","X3","X4","wordtot"
"american",1987,79169,9,0.000113680859932549,0.000100353656769337,0.00011437147427506,0.000116412002742271,928
"american",1999,83084,21,0.000252756246690097,0.000116766669473033,0.000167426309418526,0.000193179306487236,928
"american",1977,136285,14,0.00010272590527204,0.000267254442590224,0.000499326221735745,0.000457187374398408,928
"american",1993,93883,1,1.06515556597041e-05,5.60804007377605e-05,0.000110114210438768,0.000145934571986994,928
"american",1973,94827,15,0.000158182796039103,0.00017817759336531,0.000383591748069688,0.000531511433955703,928
"american",1992,177533,27,0.000152084401209916,0.000161823325738584,0.00012814037624617,0.000132155845435194,928
"american",1986,69391,9,0.000129699816979147,0.000171607148692397,0.000136275240030256,0.00011993934664893,928
"american",1970,55978,52,0.000928936367858802,0.000621359283136998,0.000513312467102495,0.00048017106691151,928
"american",1990,170461,9,5.27980007157062e-05,0.000120421138014665,0.000130579403238074,0.00011047055200966,928
"american",1997,114693,12,0.000104627135047475,0.000175354688837077,0.000189259032122955,0.000182522486045426,928
"american",1985,132854,33,0.000248392972736989,0.00017089472257034,0.000150644257536032,0.000124104782681977,928
"american",1981,109016,7,6.42107580538637e-05,0.000112147831203903,0.000123343036127643,8.89695588741402e-05,928
"american",1975,106169,134,0.00126213866571221,0.00104519693694889,0.000742510992217135,0.000578326735920914,928
"american",2004,138611,9,6.49299117674643e-05,3.98762902465357e-05,7.21243903271343e-05,8.8340219262012e-05,928
"american",2000,69125,2,2.89330922242315e-05,0.000219216210016454,0.000181388003790286,0.000187978598172125,928
"american",1998,125672,6,4.77433318479852e-05,0.00010073818154332,0.000151326129301894,0.00019134121166841,928
"american",2003,119400,13,0.000108877721943049,0.000138825324346074,0.000124751990843822,0.000124173657932946,928
"american",1984,57462,3,5.22084159966587e-05,0.000126831138138195,0.000122782534773962,0.000124382142759072,928
"american",1968,12719,7,0.000550357732526142,0.000515484774848154,0.000501192598011429,0.000435927246025714,928
"american",1978,144617,14,9.68074292787155e-05,7.11536390013749e-05,0.000248537340814865,0.000373242828088848,928
"american",1971,66258,20,0.000301850342600139,0.000536880132077515,0.000408877262588293,0.000499658188237821,928
"american",1974,91026,26,0.000285632676378178,0.000485848739675286,0.000578537858180871,0.00056267190282673,928
"american",1991,96569,28,0.000289948119997101,0.000212938654360294,0.000130936195087088,0.000117504726503076,928
"american",1980,76494,20,0.000261458415039088,0.000228542461017879,0.000153517993733043,0.000110725059787358,928
"american",1967,43389,22,0.000507040955080781,0.000412263875868914,0.000420653163617189,0.000409732022455032,928
"american",1983,87588,11,0.000125587980088597,8.65551220745568e-05,9.57361016022222e-05,0.000125865855700588,928
"american",1969,53448,18,0.000336775931746745,0.000575585690543806,0.000526185139584245,0.000459299628651821,928
"american",1982,90746,8,8.81581557313821e-05,8.17060525531843e-05,0.000100611356899077,0.000111264201142709,928
"american",1989,200421,13,6.48634624116235e-05,4.34093007770055e-05,0.000100847698610515,0.000112418454134572,928
"american",1988,105183,8,7.60579181046367e-05,8.18843969126317e-05,7.719409848201e-05,0.000114736665652375,928
"american",1972,63840,26,0.000407268170426065,0.000266653174883998,0.000320151637427098,0.000517736940816092,928
"american",2001,83374,37,0.000443783433684362,0.000251181144741493,0.000176589241539517,0.000173728833753951,928
"american",1996,237786,102,0.00042895712951982,0.000284568261080825,0.000184885537322093,0.000168685621170201,928
"american",1976,130715,127,0.000971579390276556,0.000913381231552242,0.00065293565645475,0.000533759421019798,928
"american",1995,160960,18,0.00011182902584493,0.000218121799224336,0.000172026933415484,0.000159100294165282,928
"american",1966,31044,7,0.000225486406390929,0.000271921260488678,0.000289108811183734,0.000379642176285702,928
"american",2002,86042,9,0.000104600079031171,0.00020801373914172,0.00016073738025011,0.000152583531597571,928
"american",1994,98941,11,0.000111177368330621,5.2536395505771e-05,0.000140281569893333,0.000154053204507734,928
"american",1979,74676,20,0.00026782366489903,0.00024146363259216,0.000174481991395611,0.000237386001602767,928
"analysis",1977,136285,146,0.00107128444069413,0.0013027527721467,0.0014221746645084,0.00143934004873516,4782
"analysis",1970,55978,79,0.00141126871270856,0.0015934192477055,0.00194347911578665,0.0018930565546541,4782
"analysis",1987,79169,32,0.000404198613093509,0.000506908636601368,0.000648051883153842,0.000763697179395139,4782
"analysis",1990,170461,188,0.00110289157050586,0.00120973075896341,0.00120308210251306,0.00110931828245811,4782
"analysis",2002,86042,64,0.000743822784221659,0.00127947764059398,0.00113365768429584,0.00114865110927641,4782
"analysis",1993,93883,104,0.00110776178860923,0.00126303284104639,0.00142910714745855,0.00142823602749348,4782
"analysis",1991,96569,138,0.00142903001998571,0.00138842689740228,0.00130369105458719,0.00123868218878542,4782
"analysis",1985,132854,118,0.000888193054029235,0.000867072133504242,0.000788706597855761,0.000712506431562328,4782
"analysis",1982,90746,59,0.000650166398518943,0.000653845292546474,0.000675746721311938,0.000823967662693879,4782
"analysis",1996,237786,226,0.00095043442423019,0.00112788423142453,0.0011469537596879,0.00114401429913357,4782
"analysis",1994,98941,146,0.00147562688875188,0.00146573276710064,0.00140120479437395,0.00137536423050683,4782
"analysis",1974,91026,206,0.00226308966668864,0.00180883143759048,0.00167430219642517,0.00160213717880076,4782
"analysis",2001,83374,152,0.00182311032216278,0.00113113023569016,0.000945920217099663,0.000996496294404122,4782
"analysis",1966,31044,27,0.000869733281793583,0.000663099016592356,0.0011375748122199,0.00135359846520757,4782
"analysis",1997,114693,105,0.000915487431665402,0.000882855778956916,0.000944607040686978,0.000970986425776029,4782
"analysis",1973,94827,149,0.00157128244065509,0.00193041146156419,0.00172808943320158,0.00161159001114458,4782
"analysis",2004,138611,224,0.00161603335954578,0.00158242261455793,0.00166819372331052,0.00163714110468972,4782
"analysis",1983,87588,78,0.00089053294971914,0.000832385130747825,0.000756811597541276,0.000739869210444773,4782
"analysis",1975,106169,129,0.00121504393937967,0.00163450536056399,0.00158236502138116,0.0016071149363753,4782
"analysis",1978,144617,221,0.00152817441932829,0.0015107947829225,0.00142911371106814,0.00132216604747394,4782
"analysis",1979,74676,133,0.00178102737157855,0.00157831260712563,0.00125613470203036,0.00117889563824477,4782
"analysis",1969,53448,142,0.0026567879060021,0.00254176560039338,0.00195457783208162,0.00183959351166115,4782
"analysis",1972,63840,119,0.0018640350877193,0.00157914111052301,0.00157583137935486,0.00172440169056826,4782
"analysis",2003,119400,178,0.00149078726968174,0.00142908483610642,0.00137367461187639,0.00136406644388786,4782
"analysis",1999,83084,54,0.000649944634345963,0.000504206985933463,0.000727570860127262,0.000860991058520797,4782
"analysis",1998,125672,113,0.000899166083137055,0.000870314156707613,0.000713175930423487,0.000872872653047145,4782
"analysis",1995,160960,270,0.00167743538767396,0.00149307685959874,0.00132274900527127,0.00128118146862637,4782
